pretprocesiranje,odlike,model,cv_macroF1_sr,cv_macroF1_std,test_macroF1,test_tacnost,hiperparametri,vreme_s
lower+lema,TF,LinearSVM,0.6174261359152415,0.023462257502790893,0.6663434776239655,0.6666666666666666,"{""clf__C"": 0.01}",300.5
lower,TFIDF_1-3,LinearSVM,0.6167348505625201,0.028764162155460318,0.6319444444444444,0.6323024054982818,"{""clf__C"": 1}",354.5
lower+lema,CHAR_3-5,MultinomialNB,0.6163370821338627,0.030045624078139616,0.64617673992674,0.6460481099656358,"{""clf__alpha"": 0.1}",211.3
lower,TFIDF,LinearSVM,0.6157200440226103,0.031808153598246715,0.6752458673362628,0.6769759450171822,"{""clf__C"": 0.1}",71.4
lower+stem,CHAR_3-5,MultinomialNB,0.6152498439914804,0.03300653847129265,0.6402602213589185,0.6391752577319587,"{""clf__alpha"": 0.1}",285.8
lower,TF,MultinomialNB,0.6146067232658398,0.028131682977166835,0.6597960078964685,0.6597938144329897,"{""clf__alpha"": 1.0}",68.2
lower+lema,TF,LogRegresija,0.6135421005093545,0.02275557897058371,0.6663995816891602,0.6666666666666666,"{""clf__C"": 0.1}",308.4
lower+stem,TF,LinearSVM,0.6126393664217356,0.017667363116674113,0.6435431048032796,0.6460481099656358,"{""clf__C"": 0.01}",325.8
lower,TFIDF_1-3,MultinomialNB,0.6114743779809565,0.032560424694024426,0.6444976288614103,0.6460481099656358,"{""clf__alpha"": 0.5}",343.7
lower+stem,TF,LogRegresija,0.6099905306931522,0.014726082593597048,0.6380409086237023,0.6391752577319587,"{""clf__C"": 0.1}",341.8
lower,TFIDF,MultinomialNB,0.6078781498413235,0.02748767780103116,0.6838723051409619,0.6838487972508591,"{""clf__alpha"": 0.1}",70.8
lower,IDF,MultinomialNB,0.6070916115894075,0.0287345228829595,0.6831678153225501,0.6838487972508591,"{""clf__alpha"": 0.1}",72.5
lower,TF,LinearSVM,0.6069519148085104,0.025861354004217102,0.6420152080108813,0.6426116838487973,"{""clf__C"": 0.01}",72.4
lower,TF,LogRegresija,0.6037094037205974,0.026012601698870656,0.6210734798970093,0.6219931271477663,"{""clf__C"": 0.1}",73.1
lower,TF,Vecinski,0.1701761201761202,0.0007699360835068459,0.17050298380221654,0.3436426116838488,{},10.0
lower+stem,TF,Vecinski,0.1701761201761202,0.0007699360835068459,0.17050298380221654,0.3436426116838488,{},69.6
lower+lema,TF,Vecinski,0.1701761201761202,0.0007699360835068459,0.17050298380221654,0.3436426116838488,{},53.9
