Pocetak izvrsavanja: 2026-08-04T02:13:15+02:00
Uklonjeno 11 dupliranih tekstova.
Ucitano tekstova: 2908

Pokrecem: lower + BOW + MultinomialNB
  Fold  2/10: accuracy=0.5533, macro-F1=0.5537, najbolje={'classifier__C': 1.0}
  Fold  3/10: accuracy=0.5979, macro-F1=0.5983, najbolje={'classifier__C': 0.1}
  Fold  4/10: accuracy=0.5842, macro-F1=0.5828, najbolje={'classifier__C': 0.1}
  Fold  5/10: accuracy=0.5704, macro-F1=0.5685, najbolje={'classifier__C': 0.1}
  Fold  6/10: accuracy=0.5979, macro-F1=0.5974, najbolje={'classifier__C': 0.1}
  Fold  7/10: accuracy=0.6529, macro-F1=0.6532, najbolje={'classifier__C': 0.1}
  Fold  8/10: accuracy=0.6048, macro-F1=0.6040, najbolje={'classifier__C': 0.1}
  Fold  9/10: accuracy=0.6034, macro-F1=0.6037, najbolje={'classifier__C': 0.1}
  Fold 10/10: accuracy=0.5793, macro-F1=0.5794, najbolje={'classifier__C': 0.1}

Pokrecem: lower + TF_IDF + MultinomialNB
  Fold  1/10: accuracy=0.5911, macro-F1=0.5928, najbolje={'classifier__alpha': 0.01}
  Fold  2/10: accuracy=0.6082, macro-F1=0.6065, najbolje={'classifier__alpha': 1.0}
  Fold  3/10: accuracy=0.6323, macro-F1=0.6322, najbolje={'classifier__alpha': 0.5}
  Fold  4/10: accuracy=0.5808, macro-F1=0.5808, najbolje={'classifier__alpha': 0.1}
  Fold  5/10: accuracy=0.5773, macro-F1=0.5771, najbolje={'classifier__alpha': 0.1}
  Fold  6/10: accuracy=0.6495, macro-F1=0.6490, najbolje={'classifier__alpha': 0.5}
  Fold  7/10: accuracy=0.6529, macro-F1=0.6525, najbolje={'classifier__alpha': 0.1}
  Fold  8/10: accuracy=0.5979, macro-F1=0.5959, najbolje={'classifier__alpha': 0.5}
  Fold  9/10: accuracy=0.6207, macro-F1=0.6213, najbolje={'classifier__alpha': 0.01}
  Fold 10/10: accuracy=0.6172, macro-F1=0.6159, najbolje={'classifier__alpha': 0.5}

Pokrecem: lower + TF_IDF + LogisticRegression
  Fold  1/10: accuracy=0.5739, macro-F1=0.5723, najbolje={}
  Fold  2/10: accuracy=0.6220, macro-F1=0.6228, najbolje={}
  Fold  3/10: accuracy=0.6186, macro-F1=0.6184, najbolje={}
  Fold  4/10: accuracy=0.5567, macro-F1=0.5533, najbolje={}
  Fold  5/10: accuracy=0.5876, macro-F1=0.5855, najbolje={}
  Fold  6/10: accuracy=0.6598, macro-F1=0.6578, najbolje={}
  Fold  7/10: accuracy=0.6151, macro-F1=0.6151, najbolje={}
  Fold  8/10: accuracy=0.6426, macro-F1=0.6424, najbolje={}
  Fold  9/10: accuracy=0.6517, macro-F1=0.6522, najbolje={}
  Fold 10/10: accuracy=0.6241, macro-F1=0.6199, najbolje={}

Pokrecem: lower + TF_IDF + LogisticRegression (GridSearch)
  Fold  1/10: accuracy=0.5945, macro-F1=0.5945, najbolje={'classifier__C': 10.0}
  Fold  2/10: accuracy=0.6254, macro-F1=0.6252, najbolje={'classifier__C': 10.0}
  Fold  3/10: accuracy=0.6426, macro-F1=0.6434, najbolje={'classifier__C': 10.0}
  Fold  4/10: accuracy=0.5739, macro-F1=0.5726, najbolje={'classifier__C': 10.0}
  Fold  5/10: accuracy=0.6082, macro-F1=0.6087, najbolje={'classifier__C': 10.0}
  Fold  6/10: accuracy=0.6460, macro-F1=0.6457, najbolje={'classifier__C': 10.0}
  Fold  7/10: accuracy=0.6804, macro-F1=0.6805, najbolje={'classifier__C': 10.0}
  Fold  8/10: accuracy=0.6426, macro-F1=0.6424, najbolje={'classifier__C': 1.0}
  Fold  9/10: accuracy=0.6379, macro-F1=0.6382, najbolje={'classifier__C': 10.0}
  Fold 10/10: accuracy=0.6138, macro-F1=0.6097, najbolje={'classifier__C': 10.0}

Pokrecem: lower + TF_IDF + LinearSVM
  Fold  1/10: accuracy=0.5979, macro-F1=0.5982, najbolje={}
  Fold  2/10: accuracy=0.6254, macro-F1=0.6255, najbolje={}
  Fold  3/10: accuracy=0.6392, macro-F1=0.6399, najbolje={}
  Fold  4/10: accuracy=0.5842, macro-F1=0.5837, najbolje={}
  Fold  5/10: accuracy=0.6186, macro-F1=0.6192, najbolje={}
  Fold  6/10: accuracy=0.6564, macro-F1=0.6556, najbolje={}
  Fold  7/10: accuracy=0.6942, macro-F1=0.6942, najbolje={}
  Fold  8/10: accuracy=0.6735, macro-F1=0.6733, najbolje={}
  Fold  9/10: accuracy=0.6379, macro-F1=0.6381, najbolje={}
  Fold 10/10: accuracy=0.6103, macro-F1=0.6070, najbolje={}

Pokrecem: lower + TF_IDF + LinearSVM (GridSearch)
  Fold  1/10: accuracy=0.5979, macro-F1=0.5982, najbolje={'classifier__C': 1.0}
  Fold  2/10: accuracy=0.6254, macro-F1=0.6255, najbolje={'classifier__C': 1.0}
  Fold  3/10: accuracy=0.6392, macro-F1=0.6399, najbolje={'classifier__C': 1.0}
  Fold  4/10: accuracy=0.5842, macro-F1=0.5837, najbolje={'classifier__C': 1.0}
  Fold  5/10: accuracy=0.6186, macro-F1=0.6192, najbolje={'classifier__C': 1.0}
  Fold  6/10: accuracy=0.6564, macro-F1=0.6556, najbolje={'classifier__C': 1.0}
  Fold  7/10: accuracy=0.6942, macro-F1=0.6942, najbolje={'classifier__C': 1.0}
  Fold  8/10: accuracy=0.6735, macro-F1=0.6733, najbolje={'classifier__C': 1.0}
  Fold  9/10: accuracy=0.6379, macro-F1=0.6381, najbolje={'classifier__C': 1.0}
  Fold 10/10: accuracy=0.6103, macro-F1=0.6070, najbolje={'classifier__C': 1.0}

Pokrecem: lower + TFIDF_1-2 + MultinomialNB
  Fold  1/10: accuracy=0.5842, macro-F1=0.5840, najbolje={'classifier__alpha': 0.1}
  Fold  2/10: accuracy=0.6254, macro-F1=0.6254, najbolje={'classifier__alpha': 0.1}
  Fold  3/10: accuracy=0.6701, macro-F1=0.6699, najbolje={'classifier__alpha': 0.1}
  Fold  4/10: accuracy=0.5876, macro-F1=0.5861, najbolje={'classifier__alpha': 0.1}
  Fold  5/10: accuracy=0.6048, macro-F1=0.6063, najbolje={'classifier__alpha': 0.1}
  Fold  6/10: accuracy=0.6907, macro-F1=0.6897, najbolje={'classifier__alpha': 0.1}
  Fold  7/10: accuracy=0.6529, macro-F1=0.6528, najbolje={'classifier__alpha': 0.01}
  Fold  8/10: accuracy=0.6254, macro-F1=0.6242, najbolje={'classifier__alpha': 0.1}
  Fold  9/10: accuracy=0.6069, macro-F1=0.6064, najbolje={'classifier__alpha': 0.01}
  Fold 10/10: accuracy=0.6552, macro-F1=0.6538, najbolje={'classifier__alpha': 0.5}

Pokrecem: lower + TFIDF_1-2 + LogisticRegression
  Fold  1/10: accuracy=0.6186, macro-F1=0.6175, najbolje={}
  Fold  2/10: accuracy=0.6426, macro-F1=0.6431, najbolje={}
  Fold  3/10: accuracy=0.6323, macro-F1=0.6307, najbolje={}
  Fold  4/10: accuracy=0.5979, macro-F1=0.5942, najbolje={}
  Fold  5/10: accuracy=0.5670, macro-F1=0.5643, najbolje={}
  Fold  6/10: accuracy=0.6598, macro-F1=0.6574, najbolje={}
  Fold  7/10: accuracy=0.6701, macro-F1=0.6692, najbolje={}
  Fold  8/10: accuracy=0.6392, macro-F1=0.6380, najbolje={}
  Fold  9/10: accuracy=0.6828, macro-F1=0.6825, najbolje={}
  Fold 10/10: accuracy=0.6207, macro-F1=0.6176, najbolje={}

Pokrecem: lower + TFIDF_1-2 + LogisticRegression (GridSearch)
  Fold  1/10: accuracy=0.6186, macro-F1=0.6175, najbolje={'classifier__C': 1.0}
  Fold  2/10: accuracy=0.6529, macro-F1=0.6528, najbolje={'classifier__C': 10.0}
  Fold  3/10: accuracy=0.6323, macro-F1=0.6307, najbolje={'classifier__C': 1.0}
  Fold  4/10: accuracy=0.5911, macro-F1=0.5900, najbolje={'classifier__C': 10.0}
  Fold  5/10: accuracy=0.5876, macro-F1=0.5871, najbolje={'classifier__C': 10.0}
  Fold  6/10: accuracy=0.6770, macro-F1=0.6765, najbolje={'classifier__C': 10.0}
  Fold  7/10: accuracy=0.6976, macro-F1=0.6972, najbolje={'classifier__C': 10.0}
  Fold  8/10: accuracy=0.6392, macro-F1=0.6387, najbolje={'classifier__C': 10.0}
  Fold  9/10: accuracy=0.6828, macro-F1=0.6825, najbolje={'classifier__C': 1.0}
  Fold 10/10: accuracy=0.5897, macro-F1=0.5863, najbolje={'classifier__C': 10.0}

Pokrecem: lower + TFIDF_1-2 + LinearSVM
  Fold  1/10: accuracy=0.6117, macro-F1=0.6118, najbolje={}
  Fold  2/10: accuracy=0.6701, macro-F1=0.6701, najbolje={}
  Fold  3/10: accuracy=0.6289, macro-F1=0.6286, najbolje={}
  Fold  4/10: accuracy=0.5876, macro-F1=0.5866, najbolje={}
  Fold  5/10: accuracy=0.5911, macro-F1=0.5910, najbolje={}
  Fold  6/10: accuracy=0.6770, macro-F1=0.6763, najbolje={}
  Fold  7/10: accuracy=0.6873, macro-F1=0.6870, najbolje={}
  Fold  8/10: accuracy=0.6254, macro-F1=0.6252, najbolje={}
  Fold  9/10: accuracy=0.6414, macro-F1=0.6412, najbolje={}
  Fold 10/10: accuracy=0.5966, macro-F1=0.5945, najbolje={}

Pokrecem: lower + TFIDF_1-2 + LinearSVM (GridSearch)
